,method,outcome,weight,year,name
16647,Guillotine,W,77KG,1998,Renzo Gracie
16648,Submission,W,88KG,1999,Renzo Gracie
16649,Pts: 7x0,W,77KG,2000,Renzo Gracie
16650,Pts: 3x0,W,77KG,2000,Renzo Gracie
16651,Guillotine,W,77KG,2000,Renzo Gracie
16652,Adv,W,77KG,2000,Renzo Gracie
16653,Adv,W,88KG,2001,Renzo Gracie
16654,Points,W,77KG,2003,Renzo Gracie
16655,---,D,ABS,2014,Renzo Gracie
16656,Armbar,L,100KG,2005,Ricardo Abreu
16657,Ezekiel,L,100KG,2009,Ricardo Abreu
16658,Pts: 13x2,L,100KG,2010,Ricardo Abreu
16659,Heel hook,L,ABS,2012,Ricardo Abreu
16660,Adv,L,ABS,2013,Ricardo Abreu
16661,Arm in guillotine,L,ABS,2016,Ricardo Abreu
16662,Pts: 1x0,L,94KG,2019,Ricardo Abreu
16663,Armbar,W,100KG,2005,Ricardo Abreu
16664,Armbar,W,100KG,2006,Ricardo Abreu
16665,Armbar,W,100KG,2006,Ricardo Abreu
16666,Cross choke,W,100KG,2006,Ricardo Abreu
16667,armbar,W,ABS,2009,Ricardo Abreu
16668,Pts: 12x0,W,100KG,2009,Ricardo Abreu
16669,Points,W,ABS,2009,Ricardo Abreu
16670,Choke,W,100KG,2010,Ricardo Abreu
16671,Pts: 3x0,W,O92KG,2010,Ricardo Abreu
16672,Pts: 2x0,W,O92KG,2010,Ricardo Abreu
16673,Points,W,100KG,2010,Ricardo Abreu
16674,Choke,W,100KG,2010,Ricardo Abreu
16675,Pts: 2x0,L,99KG,1999,Ricardo Almeida “Cachorrão”
16676,Pen,L,99KG,2000,Ricardo Almeida “Cachorrão”
16677,Pts: 3x0,L,ABS,2000,Ricardo Almeida “Cachorrão”
16678,Pen,L,99KG,2001,Ricardo Almeida “Cachorrão”
16679,Pts: 3x0,L,ABS,2001,Ricardo Almeida “Cachorrão”
16680,Referee Decision,L,ABS,2002,Ricardo Almeida “Cachorrão”
16681,Pts: 6x0,L,88KG,2003,Ricardo Almeida “Cachorrão”
16682,Botinha,L,88KG,2003,Ricardo Almeida “Cachorrão”
16683,Submission,W,99KG,1999,Ricardo Almeida “Cachorrão”
16684,Choke,W,99KG,1999,Ricardo Almeida “Cachorrão”
16685,Guillotine,W,ABS,2000,Ricardo Almeida “Cachorrão”
16686,Kneebar,W,ABS,2000,Ricardo Almeida “Cachorrão”
16687,Pts: 5x0,W,ABS,2000,Ricardo Almeida “Cachorrão”
16688,RNC,W,99KG,2001,Ricardo Almeida “Cachorrão”
16689,Pts: 3x0,W,99KG,2001,Ricardo Almeida “Cachorrão”
16690,Pts: 2x0,W,99KG,2001,Ricardo Almeida “Cachorrão”
16691,Points,W,ABS,2001,Ricardo Almeida “Cachorrão”
16692,Armbar,W,ABS,2001,Ricardo Almeida “Cachorrão”
16693,Points,W,ABS,2002,Ricardo Almeida “Cachorrão”
16694,Guillotine,W,88KG,2003,Ricardo Almeida “Cachorrão”
16695,Points,W,88KG,2003,Ricardo Almeida “Cachorrão”
16696,Pts: 3x0,L,94KG,2000,Ricardo Arona
16697,Pts: 2x0,W,94KG,2000,Ricardo Arona
16698,Kneebar,W,99KG,2000,Ricardo Arona
16699,Adv,W,99KG,2000,Ricardo Arona
16700,Pts: 2x0,W,99KG,2000,Ricardo Arona
16701,Pen,W,99KG,2000,Ricardo Arona
16702,Pts: 2x0,W,99KG,2001,Ricardo Arona
16703,Pts: 2x0,W,99KG,2001,Ricardo Arona
16704,Pts: 3x0,W,99KG,2001,Ricardo Arona
16705,Pen,W,99KG,2001,Ricardo Arona
16706,Straight ankle lock,W,ABS,2001,Ricardo Arona
16707,Pts: 2x0,W,ABS,2001,Ricardo Arona
16708,Pts: 3x0,W,ABS,2001,Ricardo Arona
16709,Pts: 3x0,W,ABS,2001,Ricardo Arona
16710,Points,W,ABS,2003,Ricardo Arona
16711,Bow and arrow,L,ABS,2011,Ricardo “Jegue” Evangelista
16712,Botinha,L,ABS,2012,Ricardo “Jegue” Evangelista
16713,Toe Hold,L,O100KG,2012,Ricardo “Jegue” Evangelista
16714,Pts: 5x2,L,O99KG,2012,Ricardo “Jegue” Evangelista
16715,"Pts: 2x2, Adv",L,O100KG,2012,Ricardo “Jegue” Evangelista
16716,Kimura,L,ABS,2013,Ricardo “Jegue” Evangelista
16717,Pts: 2x0,L,O100KG,2013,Ricardo “Jegue” Evangelista
16718,Ezekiel,L,ABS,2013,Ricardo “Jegue” Evangelista
16719,Pts: 2x0,L,O100KG,2013,Ricardo “Jegue” Evangelista
16720,Choke from back,L,ABS,2013,Ricardo “Jegue” Evangelista
16721,Pen,L,O94KG,2013,Ricardo “Jegue” Evangelista
16722,Pts: 4x2,L,O100KG,2014,Ricardo “Jegue” Evangelista
16723,Choke from back,L,ABS,2014,Ricardo “Jegue” Evangelista
16724,N/A,L,O100KG,2014,Ricardo “Jegue” Evangelista
16725,"Pts: 4x4, Adv",L,ABS,2014,Ricardo “Jegue” Evangelista
16726,Choke from back,L,O100KG,2014,Ricardo “Jegue” Evangelista
16727,Armbar,L,O100KG,2014,Ricardo “Jegue” Evangelista
16728,Points,L,O100KG,2015,Ricardo “Jegue” Evangelista
16729,Guillotine,L,O95KG,2015,Ricardo “Jegue” Evangelista
16730,Points,L,ABS,2015,Ricardo “Jegue” Evangelista
16731,"Pts: 0x0, Adv",L,O100KG,2015,Ricardo “Jegue” Evangelista
16732,Pts: 4x2,L,ABS,2015,Ricardo “Jegue” Evangelista
16733,Pts: 2x0,L,ABS,2016,Ricardo “Jegue” Evangelista
16734,Pts: 15x0,L,O100KG,2016,Ricardo “Jegue” Evangelista
16735,Botinha,L,ABS,2016,Ricardo “Jegue” Evangelista
16736,Referee Decision,L,94KG,2016,Ricardo “Jegue” Evangelista
16737,Referee Decision,L,108KG,2016,Ricardo “Jegue” Evangelista
16738,Referee Decision,L,110KG,2016,Ricardo “Jegue” Evangelista
16739,Points,L,110KG,2016,Ricardo “Jegue” Evangelista
16740,Pts: 4x2,L,ABS,2017,Ricardo “Jegue” Evangelista
16741,Points,L,ABS,2017,Ricardo “Jegue” Evangelista
16742,Kneebar,L,O95KG,2017,Ricardo “Jegue” Evangelista
16743,Kimura,L,ABS,2017,Ricardo “Jegue” Evangelista
16744,Toe hold,L,ABS,2018,Ricardo “Jegue” Evangelista
16745,Referee Decision,L,O95KG,2018,Ricardo “Jegue” Evangelista
16746,Armbar,L,O100KG,2018,Ricardo “Jegue” Evangelista
16747,RNC,L,110KG,2018,Ricardo “Jegue” Evangelista
16748,Triangle,L,O95KG,2018,Ricardo “Jegue” Evangelista
16749,Points,L,O100KG,2018,Ricardo “Jegue” Evangelista
16750,Kimura,L,ABS,2018,Ricardo “Jegue” Evangelista
16751,Pts: 4x0,L,110KG,2018,Ricardo “Jegue” Evangelista
16752,Pts: 2x0,L,110KG,2018,Ricardo “Jegue” Evangelista
16753,Referee Decision,L,O81KG,2018,Ricardo “Jegue” Evangelista
16754,"Pts: 2x2, Adv",L,110KG,2018,Ricardo “Jegue” Evangelista
16755,"Pts: 0x0, Adv",L,110KG,2019,Ricardo “Jegue” Evangelista
16756,"Pts: 0x0, Adv",L,110KG,2019,Ricardo “Jegue” Evangelista
16757,Choke from back,L,O100KG,2019,Ricardo “Jegue” Evangelista
16758,Botinha,L,ABS,2019,Ricardo “Jegue” Evangelista
16759,Pts: 4x2,L,110KG,2019,Ricardo “Jegue” Evangelista
16760,Pts: 9x6,L,110KG,2019,Ricardo “Jegue” Evangelista
16761,Pts: 2x0,L,120KG,2019,Ricardo “Jegue” Evangelista
16762,Referee Decision,L,O95KG,2019,Ricardo “Jegue” Evangelista
16763,Referee Decision,W,O100KG,2011,Ricardo “Jegue” Evangelista
16764,Pts: 6x0,W,ABS,2012,Ricardo “Jegue” Evangelista
16765,Submission,W,O100KG,2012,Ricardo “Jegue” Evangelista
16766,N/A,W,O99KG,2012,Ricardo “Jegue” Evangelista
16767,Points,W,O100KG,2012,Ricardo “Jegue” Evangelista
16768,Adv,W,ABS,2013,Ricardo “Jegue” Evangelista
16769,Adv,W,O100KG,2013,Ricardo “Jegue” Evangelista
16770,Pts: 4x0,W,O100KG,2013,Ricardo “Jegue” Evangelista
16771,N/A,W,ABS,2013,Ricardo “Jegue” Evangelista
16772,N/A,W,ABS,2013,Ricardo “Jegue” Evangelista
16773,N/A,W,ABS,2013,Ricardo “Jegue” Evangelista
16774,Referee Decision,W,ABS,2013,Ricardo “Jegue” Evangelista
16775,Botinha,W,ABS,2014,Ricardo “Jegue” Evangelista
16776,N/A,W,O100KG,2014,Ricardo “Jegue” Evangelista
16777,Footlock,W,ABS,2014,Ricardo “Jegue” Evangelista
16778,Pts: 5x0,W,O100KG,2014,Ricardo “Jegue” Evangelista
16779,Toe hold,W,O100KG,2015,Ricardo “Jegue” Evangelista
16780,"Pts: 2x2, Adv",W,O95KG,2015,Ricardo “Jegue” Evangelista
16781,Toe hold,W,O95KG,2015,Ricardo “Jegue” Evangelista
16782,Ezekiel,W,ABS,2015,Ricardo “Jegue” Evangelista
16783,Points,W,ABS,2015,Ricardo “Jegue” Evangelista
16784,"Pts: 4x4, Adv",W,ABS,2015,Ricardo “Jegue” Evangelista
16785,Pts: 2x0,W,O100KG,2015,Ricardo “Jegue” Evangelista
16786,Pts: 3x0,W,O100KG,2015,Ricardo “Jegue” Evangelista
16787,Referee Decision,W,O94KG,2015,Ricardo “Jegue” Evangelista
16788,Pts: 10x0,W,O94KG,2015,Ricardo “Jegue” Evangelista
16789,Referee Decision,W,ABS,2015,Ricardo “Jegue” Evangelista
16790,Mounted X choke,W,O94KG,2015,Ricardo “Jegue” Evangelista
16791,Armbar,W,O94KG,2015,Ricardo “Jegue” Evangelista
16792,Referee Decision,W,O94KG,2015,Ricardo “Jegue” Evangelista
16793,Armlock,W,ABS,2015,Ricardo “Jegue” Evangelista
16794,Violin armlock,W,ABS,2015,Ricardo “Jegue” Evangelista
16795,Armbar,W,ABS,2015,Ricardo “Jegue” Evangelista
16796,Pts: 4x0,W,ABS,2015,Ricardo “Jegue” Evangelista
16797,Referee Decision,W,ABS,2015,Ricardo “Jegue” Evangelista
16798,Choke from back,W,ABS,2015,Ricardo “Jegue” Evangelista
16799,"Pts: 0x0, Adv",W,ABS,2016,Ricardo “Jegue” Evangelista
16800,Guillotine,W,ABS,2016,Ricardo “Jegue” Evangelista
16801,Pts: 2x0,W,O94KG,2016,Ricardo “Jegue” Evangelista
16802,Pts: 10x0,W,ABS,2016,Ricardo “Jegue” Evangelista
16803,Pts: 16x0,W,ABS,2016,Ricardo “Jegue” Evangelista
16804,Referee Decision,W,O94KG,2016,Ricardo “Jegue” Evangelista
16805,"Pts: 0x0, Adv",W,O94KG,2016,Ricardo “Jegue” Evangelista
16806,Referee Decision,W,O94KG,2016,Ricardo “Jegue” Evangelista
16807,Pts: 6x0,W,O94KG,2016,Ricardo “Jegue” Evangelista
16808,Points,W,O100KG,2016,Ricardo “Jegue” Evangelista
16809,Violin armlock,W,O100KG,2016,Ricardo “Jegue” Evangelista
16810,Pts: 6x2,W,ABS,2016,Ricardo “Jegue” Evangelista
16811,Toe hold,W,94KG,2016,Ricardo “Jegue” Evangelista
16812,Toe hold,W,110KG,2016,Ricardo “Jegue” Evangelista
16813,Pts: 4x0,W,108KG,2016,Ricardo “Jegue” Evangelista
16814,Pts: 10x2,W,ABS,2017,Ricardo “Jegue” Evangelista
16815,Points,W,ABS,2017,Ricardo “Jegue” Evangelista
16816,Choke from back,W,O100KG,2017,Ricardo “Jegue” Evangelista
16817,N/A,W,O100KG,2017,Ricardo “Jegue” Evangelista
16818,Referee Decision,W,ABS,2017,Ricardo “Jegue” Evangelista
16819,Pts: 2x0,W,ABS,2017,Ricardo “Jegue” Evangelista
16820,Referee Decision,W,O95KG,2017,Ricardo “Jegue” Evangelista
16821,Referee Decision,W,108KG,2017,Ricardo “Jegue” Evangelista
16822,Wristlock,W,ABS,2018,Ricardo “Jegue” Evangelista
16823,Pts: 6x3,W,ABS,2018,Ricardo “Jegue” Evangelista
16824,Toe Hold,W,O100KG,2018,Ricardo “Jegue” Evangelista
16825,"Pts: 0x0, Adv",W,O100KG,2018,Ricardo “Jegue” Evangelista
16826,Pts: 6x0,W,O100KG,2018,Ricardo “Jegue” Evangelista
16827,Pts: 2x0,W,O100KG,2018,Ricardo “Jegue” Evangelista
16828,"Pts: 0x0, Adv",W,110KG,2018,Ricardo “Jegue” Evangelista
16829,Pts: 5x0,W,ABS,2018,Ricardo “Jegue” Evangelista
16830,Toe hold,W,110KG,2018,Ricardo “Jegue” Evangelista
16831,Toe hold,W,110KG,2018,Ricardo “Jegue” Evangelista
16832,Pts: 2x0,W,110KG,2018,Ricardo “Jegue” Evangelista
16833,"Pts: 0x0, Adv",W,110KG,2018,Ricardo “Jegue” Evangelista
16834,"Pts: 0x0, Adv",W,110KG,2018,Ricardo “Jegue” Evangelista
16835,Submission,W,110KG,2018,Ricardo “Jegue” Evangelista
16836,Pts: 6x0,W,110KG,2018,Ricardo “Jegue” Evangelista
16837,"Pts: 2x2, Adv",W,110KG,2018,Ricardo “Jegue” Evangelista
16838,Pts: 2x0,W,ABS,2018,Ricardo “Jegue” Evangelista
16839,Pts: 8x2,W,110KG,2018,Ricardo “Jegue” Evangelista
16840,Choke from back,W,110KG,2018,Ricardo “Jegue” Evangelista
16841,Points,W,110KG,2019,Ricardo “Jegue” Evangelista
16842,Pts: 6x0,W,110KG,2019,Ricardo “Jegue” Evangelista
16843,"Pts: 0x0, Adv",W,110KG,2019,Ricardo “Jegue” Evangelista
16844,N/A,W,110KG,2019,Ricardo “Jegue” Evangelista
16845,Pts: 5x0,W,110KG,2019,Ricardo “Jegue” Evangelista
16846,N/A,W,110KG,2019,Ricardo “Jegue” Evangelista
16847,Pts: 2x0,W,110KG,2019,Ricardo “Jegue” Evangelista
16848,DQ,W,O100KG,2019,Ricardo “Jegue” Evangelista
16849,Pts: 3x0,W,110KG,2019,Ricardo “Jegue” Evangelista
16850,Wristlock,W,110KG,2019,Ricardo “Jegue” Evangelista
16851,Toe hold,W,O100KG,2019,Ricardo “Jegue” Evangelista
16852,Arm in Ezekiel,W,O100KG,2019,Ricardo “Jegue” Evangelista
16853,Toe hold,W,ABS,2019,Ricardo “Jegue” Evangelista
16854,Toe hold,W,110KG,2019,Ricardo “Jegue” Evangelista
16855,Armbar,W,110KG,2019,Ricardo “Jegue” Evangelista
16856,Pts: 2x0,W,120KG,2019,Ricardo “Jegue” Evangelista
16857,Pts: 6x2,W,120KG,2019,Ricardo “Jegue” Evangelista
16858,Submission,W,O95KG,2019,Ricardo “Jegue” Evangelista
16859,Submission,W,ABS,2019,Ricardo “Jegue” Evangelista
16860,"Pts: 0x0, Adv",W,ABS,2019,Ricardo “Jegue” Evangelista
16861,Pts: 8x4,W,120KG,2019,Ricardo “Jegue” Evangelista
16862,Pts: 4x2,W,120KG,2019,Ricardo “Jegue” Evangelista
16863,"Pts: 0x0, Adv",W,O100KG,2019,Ricardo “Jegue” Evangelista
16864,Pts: 2x0,L,88KG,1999,Ricardo Libório
16865,Pen,L,88KG,2000,Ricardo Libório
16866,Referee Decision,L,88KG,2001,Ricardo Libório
16867,Pts: 2x0,W,100KG,1996,Ricardo Libório
16868,Armbar,W,ABS,1996,Ricardo Libório
16869,Armbar,W,ABS,1996,Ricardo Libório
16870,Pts: 6x0,W,ABS,1996,Ricardo Libório
16871,Pts: 5x0,W,88KG,1999,Ricardo Libório
16872,Pts: 16x0,W,88KG,1999,Ricardo Libório
16873,Pts: 3x0,W,88KG,1999,Ricardo Libório
16874,RNC,W,88KG,2000,Ricardo Libório
16875,Pts: 9x0,W,88KG,2000,Ricardo Libório
16876,Injury,W,88KG,2000,Ricardo Libório
16877,Armbar,W,88KG,2001,Ricardo Libório
16878,"Pts: 2x2, Adv",L,64KG,2002,Ricardo Vieira
16879,Heel hook,L,66KG,2013,Ricardo Vieira
16880,N/A,W,64KG,2001,Ricardo Vieira
16881,Pts: 6x5,W,64KG,2001,Ricardo Vieira
16882,"Pts: 0x0, Adv",W,64KG,2001,Ricardo Vieira
16883,Ezekiel,W,64KG,2002,Ricardo Vieira
16884,Pts: 10x0,W,64KG,2002,Ricardo Vieira
16885,Points,W,64KG,2003,Ricardo Vieira
16886,Points,W,64KG,2003,Ricardo Vieira
16887,Pts: 2x0,W,64KG,2004,Ricardo Vieira
16888,Triangle,W,64KG,2005,Ricardo Vieira
16889,Guillotine,W,66KG,2013,Ricardo Vieira
16890,"Pts: 0x0, Adv",L,70KG,2018,Richar Nogueira
16891,Referee Decision,L,81KG,2018,Richar Nogueira
16892,Points,L,70KG,2018,Richar Nogueira
16893,Guillotine,L,67KG,2018,Richar Nogueira
16894,Bow and arrow,L,69KG,2018,Richar Nogueira
16895,"Pts: 0x0, Adv",L,70KG,2019,Richar Nogueira
16896,N/A,L,ABS,2019,Richar Nogueira
16897,Choke from back,L,70KG,2019,Richar Nogueira
16898,"Pts: 0x0, Adv",L,ABS,2019,Richar Nogueira
16899,"Pts: 2x2, Adv",L,70KG,2019,Richar Nogueira
16900,Armbar,L,67KG,2019,Richar Nogueira
16901,Referee Decision,L,70KG,2019,Richar Nogueira
16902,"Pts: 2x2, Adv",L,70KG,2019,Richar Nogueira
16903,Points,L,70KG,2019,Richar Nogueira
16904,Pts: 9x4,L,ABS,2019,Richar Nogueira
16905,Omoplata,L,70KG,2019,Richar Nogueira
16906,Points,L,70KG,2019,Richar Nogueira
16907,"Pts: 4x4, Adv",L,70KG,2019,Richar Nogueira
16908,Referee Decision,W,70KG,2018,Richar Nogueira
16909,Armbar,W,70KG,2018,Richar Nogueira
16910,No arm triangle,W,70KG,2018,Richar Nogueira
16911,Triangle,W,70KG,2018,Richar Nogueira
16912,Triangle,W,ABS,2018,Richar Nogueira
16913,Triangle,W,ABS,2018,Richar Nogueira
16914,Triangle,W,67KG,2018,Richar Nogueira
16915,Pts: 4x0,W,70KG,2018,Richar Nogueira
16916,Choke,W,67KG,2018,Richar Nogueira
16917,Toe hold,W,ABS,2019,Richar Nogueira
16918,Triangle,W,70KG,2019,Richar Nogueira
16919,Pts: 4x2,W,70KG,2019,Richar Nogueira
16920,Points,W,70KG,2019,Richar Nogueira
16921,Choke from back,W,70KG,2019,Richar Nogueira
16922,Pts: 2x0,W,70KG,2019,Richar Nogueira
16923,Submission,W,70KG,2019,Richar Nogueira
16924,Points,W,70KG,2019,Richar Nogueira
16925,"Pts: 2x2, Adv",W,70KG,2019,Richar Nogueira
16926,Triangle,W,70KG,2019,Richar Nogueira
16927,Points,W,70KG,2019,Richar Nogueira
16928,Points,W,70KG,2019,Richar Nogueira
16929,Points,W,70KG,2019,Richar Nogueira
16930,Referee Decision,W,70KG,2019,Richar Nogueira
16931,Flying triangle,W,70KG,2019,Richar Nogueira
16932,Toe hold,W,70KG,2019,Richar Nogueira
16933,Pts: 6x4,W,70KG,2019,Richar Nogueira
16934,Pts: 8x6,W,70KG,2019,Richar Nogueira
16935,Points,W,70KG,2019,Richar Nogueira
16936,Choke from back,W,ABS,2019,Richar Nogueira
16937,N/A,W,70KG,2019,Richar Nogueira
16938,Points,W,70KG,2019,Richar Nogueira
16939,Points,W,70KG,2019,Richar Nogueira
16940,Points,W,70KG,2019,Richar Nogueira
16941,Points,W,70KG,2019,Richar Nogueira
16942,Points,W,70KG,2019,Richar Nogueira
16943,"Pts: 4x4, Adv",W,70KG,2019,Richar Nogueira
16944,Points,W,70KG,2019,Richar Nogueira
16945,Pts: 4x0,W,70KG,2019,Richar Nogueira
16946,"Pts: 0x0, Adv",W,70KG,2019,Richar Nogueira
16947,Points,W,70KG,2020,Richar Nogueira
16948,Toe hold,W,70KG,2020,Richar Nogueira
16949,"Pts: 2x2, Adv",L,61KG,2019,Richard Alarcon
16950,RNC,L,61KG,2019,Richard Alarcon
16951,Pts: 2x0,L,66KG,2019,Richard Alarcon
16952,Armbar,L,61KG,2019,Richard Alarcon
16953,Pts: 13x2,L,61KG,2019,Richard Alarcon
16954,Pts: 3x0,W,61KG,2019,Richard Alarcon
16955,Pts: 18x1,W,62KG,2019,Richard Alarcon
16956,Heel hook,W,62KG,2019,Richard Alarcon
16957,Points,W,62KG,2019,Richard Alarcon
16958,Pts: 3x2,W,61KG,2019,Richard Alarcon
16959,Pts: 4x0,W,61KG,2019,Richard Alarcon
16960,Pts: 4x0,W,66KG,2019,Richard Alarcon
16961,Armbar,W,86KG,1981,Rickson Gracie
16962,Choke,W,ABS,1981,Rickson Gracie
16963,Armbar,W,ABS,1984,Rickson Gracie
16964,Armbar,W,86KG,1984,Rickson Gracie
16965,Choke,W,86KG,1985,Rickson Gracie
16966,Bread cutter,W,ABS,1986,Rickson Gracie
16967,Mounted X choke,W,ABS,1986,Rickson Gracie
16968,Exhaustion,W,ABS,1986,Rickson Gracie
16969,Armbar,W,NA,1987,Rickson Gracie
16970,Choke,W,ABS,1995,Rickson Gracie
16971,Katagatame,L,ABS,2018,Rida Haisam
16972,Inside heel hook,L,ABS,2018,Rida Haisam
16973,Outside heel hook,L,ABS,2018,Rida Haisam
16974,Pts: 9x2,L,94KG,2019,Rida Haisam
16975,Estima lock,L,94KG,2019,Rida Haisam
16976,Pts: 6x2,L,94KG,2019,Rida Haisam
16977,Choke from back,L,O85KG,2019,Rida Haisam
16978,Choke from back,W,ABS,2018,Rida Haisam
16979,Submission,W,100KG,2018,Rida Haisam
16980,Submission,W,ABS,2018,Rida Haisam
16981,Kneebar,W,O75KG,2019,Rida Haisam
16982,RNC,W,O75KG,2019,Rida Haisam
16983,Points,W,O75KG,2019,Rida Haisam
16984,Kneebar,W,ABS,2019,Rida Haisam
16985,---,D,ABS,2019,Rida Haisam
16986,Triangle,W,94KG,2019,Rida Haisam
16987,Pts: 4x0,W,94KG,2019,Rida Haisam
16988,Toe hold,W,O85KG,2019,Rida Haisam
16989,Pts: 17x2,W,94KG,2019,Rida Haisam
16990,Armbar,W,94KG,2019,Rida Haisam
16991,Armbar,W,94KG,2019,Rida Haisam
16992,Referee Decision,W,ABS,2019,Rida Haisam
16993,Points,L,ABS,1984,Rigan Machado
16994,Exhaustion,L,ABS,1986,Rigan Machado
16995,Choke,L,ABS,1995,Rigan Machado
16996,Adv,L,99KG,1999,Rigan Machado
16997,Choke,L,99KG,1999,Rigan Machado
16998,Pts: 2x0,L,O99KG,2000,Rigan Machado
16999,Injury,L,99KG,2001,Rigan Machado
17000,Points,L,99KG,2003,Rigan Machado
17001,Pts: 3x0,W,ABS,1996,Rigan Machado
17002,Pts: 7x0,W,ABS,1996,Rigan Machado
17003,Points,W,99KG,1999,Rigan Machado
17004,Pts: 2x0,W,99KG,1999,Rigan Machado
17005,Pts: 3x0,W,O99KG,2000,Rigan Machado
17006,Pts: 7x0,W,O99KG,2000,Rigan Machado
17007,Points,W,99KG,2003,Rigan Machado
17008,Heel hook,L,90KG,2007,Roberto “Tussa” Alencar
17009,Ezekiel,L,94KG,2007,Roberto “Tussa” Alencar
17010,Points,L,100KG,2007,Roberto “Tussa” Alencar
17011,Adv,L,94KG,2008,Roberto “Tussa” Alencar
17012,Points,L,94KG,2008,Roberto “Tussa” Alencar
17013,Armbar,L,88KG,2009,Roberto “Tussa” Alencar
17014,Choke from back,L,100KG,2010,Roberto “Tussa” Alencar
17015,Choke,L,ABS,2010,Roberto “Tussa” Alencar
17016,Referee Decision,L,94KG,2010,Roberto “Tussa” Alencar
17017,Points,L,ABS,2010,Roberto “Tussa” Alencar
17018,Choke,L,100KG,2010,Roberto “Tussa” Alencar
17019,Armbar,L,94KG,2011,Roberto “Tussa” Alencar
17020,Referee Decision,L,ABS,2011,Roberto “Tussa” Alencar
17021,Pts: 4x2,L,94KG,2011,Roberto “Tussa” Alencar
17022,Adv,L,94KG,2011,Roberto “Tussa” Alencar
17023,Arm in Ezekiel,L,94KG,2012,Roberto “Tussa” Alencar
17024,Omoplata,L,ABS,2012,Roberto “Tussa” Alencar
17025,Armbar,L,94KG,2012,Roberto “Tussa” Alencar
17026,Flying Triangle,L,ABS,2012,Roberto “Tussa” Alencar
17027,Flying Armbar,L,94KG,2012,Roberto “Tussa” Alencar
17028,Pts: 4x0,L,ABS,2012,Roberto “Tussa” Alencar
17029,Points,L,92KG,2013,Roberto “Tussa” Alencar
17030,Points,L,94KG,2013,Roberto “Tussa” Alencar
17031,Pts: 16x0,L,94KG,2013,Roberto “Tussa” Alencar
17032,"Pts: 0x0, Adv",L,94KG,2013,Roberto “Tussa” Alencar
17033,Choke from back,L,94KG,2014,Roberto “Tussa” Alencar
17034,"Pts: 0x0, Adv",L,94KG,2014,Roberto “Tussa” Alencar
17035,Pts: 12x0,L,94KG,2014,Roberto “Tussa” Alencar
17036,Bow and arrow,L,ABS,2015,Roberto “Tussa” Alencar
17037,Choke,L,100KG,2015,Roberto “Tussa” Alencar
17038,Pts: 3x0,L,99KG,2015,Roberto “Tussa” Alencar
17039,Pts: 4x0,L,97KG,2015,Roberto “Tussa” Alencar
17040,Pts: 3x0,L,99KG,2017,Roberto “Tussa” Alencar
17041,Adv,L,88KG,2019,Roberto “Tussa” Alencar
17042,Pts: 2x0,L,91KG,2019,Roberto “Tussa” Alencar
17043,Armbar,W,90KG,2007,Roberto “Tussa” Alencar
17044,Pts: 10x0,W,94KG,2007,Roberto “Tussa” Alencar
17045,Triangle,W,94KG,2007,Roberto “Tussa” Alencar
17046,Adv,W,94KG,2008,Roberto “Tussa” Alencar
17047,Pts: 6x2,W,94KG,2008,Roberto “Tussa” Alencar
17048,Pts: 21x0,W,94KG,2008,Roberto “Tussa” Alencar
17049,Pts: 2x0,W,94KG,2008,Roberto “Tussa” Alencar
17050,Points,W,88KG,2009,Roberto “Tussa” Alencar
17051,"Pts: 0x0, Adv",W,94KG,2009,Roberto “Tussa” Alencar
17052,Points,W,94KG,2009,Roberto “Tussa” Alencar
17053,Kimura,W,94KG,2009,Roberto “Tussa” Alencar
17054,Triangle,W,94KG,2009,Roberto “Tussa” Alencar
17055,Points,W,ABS,2009,Roberto “Tussa” Alencar
17056,Points,W,100KG,2010,Roberto “Tussa” Alencar
17057,Points,W,100KG,2010,Roberto “Tussa” Alencar
17058,Brabo choke,W,ABS,2010,Roberto “Tussa” Alencar
17059,Armbar,W,94KG,2010,Roberto “Tussa” Alencar
17060,Points,W,100KG,2010,Roberto “Tussa” Alencar
17061,"Pts: 2x2, Adv",W,100KG,2010,Roberto “Tussa” Alencar
17062,Triangle,W,94KG,2011,Roberto “Tussa” Alencar
17063,N/A,W,94KG,2011,Roberto “Tussa” Alencar
17064,N/A,W,94KG,2011,Roberto “Tussa” Alencar
17065,DQ,W,94KG,2011,Roberto “Tussa” Alencar
17066,N/A,W,94KG,2012,Roberto “Tussa” Alencar
17067,Brabo Choke,W,94KG,2012,Roberto “Tussa” Alencar
17068,Submission,W,94KG,2012,Roberto “Tussa” Alencar
17069,Pts: 7x0,W,ABS,2012,Roberto “Tussa” Alencar
17070,N/A,W,94KG,2012,Roberto “Tussa” Alencar
17071,N/A,W,94KG,2012,Roberto “Tussa” Alencar
17072,Pts: 0x0,W,94KG,2012,Roberto “Tussa” Alencar
17073,Points,W,94KG,2012,Roberto “Tussa” Alencar
17074,Points,W,94KG,2012,Roberto “Tussa” Alencar
17075,Referee Decision,W,94KG,2012,Roberto “Tussa” Alencar
17076,Ezekiel,W,92KG,2013,Roberto “Tussa” Alencar
17077,Kimura,W,88KG,2013,Roberto “Tussa” Alencar
17078,N/A,W,88KG,2013,Roberto “Tussa” Alencar
17079,Submission,W,88KG,2013,Roberto “Tussa” Alencar
17080,Adv,W,88KG,2013,Roberto “Tussa” Alencar
